Competitive Bid Service Area ID,Competitive Bid Service Area Name,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Toll-Free Telephone,Product Category Name,Competitive Bid
,,GOULDS DISCOUNT MEDICAL LLC,GOULD'S DISCOUNT MEDICAL LLC,120 S SALEM DR,,BARDSTOWN,KY,40004,,(502)286-9770,,Automatic External Defibrillators (AEDS),N
,,GOULDS DISCOUNT MEDICAL LLC,GOULDS DISCOUNT MEDICAL LLC.,504 E LEWIS AND CLARK PKWY,,CLARKSVILLE,IN,47129,,(812)282-5200,,Automatic External Defibrillators (AEDS),N
,,GOULDS DISCOUNT MEDICAL LLC,GOULD'S DISCOUNT MEDICAL,198 MOORE DR,STE 106,LEXINGTON,KY,40503,,(859)721-1732,,Automatic External Defibrillators (AEDS),N
,,GOULDS DISCOUNT MEDICAL LLC,GOULD'S DISCOUNT MEDICAL,2408 RING RD,STE 600,ELIZABETHTOWN,KY,42701,,(270)506-0033,,Automatic External Defibrillators (AEDS),N
,,GARRETTS PHARMACY INC,CLARKRANGE DRUG CENTER,6404 S YORK HWY,,CLARKRANGE,TN,38553,,(931)863-3779,,Automatic External Defibrillators (AEDS),N
,,PATIENT-AIDS INC.,PATIENT AIDS INC,100 CROSSING DR,,WILDER,KY,41076,,(859)441-8876,,Automatic External Defibrillators (AEDS),N
,,PATIENT-AIDS INC.,PATIENT-AIDS -LEXINGTON,3158 MAPLELEAF DR,,LEXINGTON,KY,40509,,(859)388-9002,,Automatic External Defibrillators (AEDS),N
,,PATIENT-AIDS INC.,PATIENT AIDS INC,1488 OLD LEBANON RD,STE C,CAMPBELLSVILLE,KY,42718,,(270)299-2067,,Automatic External Defibrillators (AEDS),N
,,PATIENT-AIDS INC.,PATIENT AIDS INC,4901 CENTURY PLAZA RD,,INDIANAPOLIS,IN,46254,,(317)841-0202,,Automatic External Defibrillators (AEDS),N
,,PATIENT-AIDS INC.,PATIENTS AIDS INC,5637 CREEK RD,,BLUE ASH,OH,45242,,(513)984-8876,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #409,715 EAST BIDWELL STREET,,FOLSOM,CA,95630,,(916)983-6574,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #416,3518 MARCONI AVE,,SACRAMENTO,CA,95821,,(916)972-7198,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY 233,725 S MAIN ST,,RED BLUFF,CA,96080,,(530)527-2137,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #115,1075 N HILLS BLVD,STE 270,RENO,NV,89506,,(775)677-8750,,Automatic External Defibrillators (AEDS),N
